Item.Description,Item.Manufacturer,Item.PartsNo,問題点.No,問題点.内容,問題点.原因,問題点.発覚日時,問題点.Project,対策.応急処置,対策.恒久対策
加湿器,H社,PN00002,101,冷えない,多忙による見落とし,2025/03/09 09:12,健康管理,専門業者に依頼した,単体テストと結合テストを徹底する
電子レンジ,D社,PN00010,102,音が出ない,バッテリー切れ,2025/03/09 09:12,プライベート,再予約した,二重確認の徹底
コーヒーメーカー,B社,PN00001,103,予約を忘れた,電力供給の問題,2025/03/09 09:12,プライベート,初期化した,不要なアプリを削除
鍵,G社,PN00010,104,接続できない,確認不足,2025/03/09 09:12,健康管理,設定を元に戻した,モデル構築の複雑さ
腕時計,A社,PN00027,105,道を間違えた,ウイルスの感染,2025/03/09 09:12,健康管理,代替品を用意した,パスワードを再設定
掃除機,F社,PN00025,106,間違えて登録した,物理的な衝撃,2025/03/09 09:12,プライベート,パスワードを再設定,保管場所を決める
水筒,C社,PN00008,107,誤って削除した,経年劣化,2025/03/09 09:12,趣味,専門業者に依頼した,自動化ツールの導入
USBメモリ,A社,PN00012,108,問題点をリスト化したものはある,ヒューマンエラー,2025/03/09 09:12,仕事,再起動した,二重確認の徹底
プリンター,E社,PN00012,109,冷えない,多忙による見落とし,2025/03/09 09:12,学習,メーカーに問い合わせた,定期的なメンテナンスを導入
掃除機,H社,PN00026,110,紛失した,確認不足,2025/03/09 09:12,プライベート,謝罪と訂正を行った,ルーティングシステムの導入
筆記用具,D社,PN00017,111,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,仕事,清掃した,二重確認の徹底
モバイルバッテリー,A社,PN00029,112,入力ミス,不注意,2025/03/09 09:12,プライベート,パスワードを再設定,リマインダー設定の徹底
眼鏡,E社,PN00016,113,パスワードを再設定,ネットワークの問題,2025/03/09 09:12,デジタルライフ,再予約した,チェックリストの導入
冷蔵庫,E社,PN00014,114,設定ミス,システムのバグ,2025/03/09 09:12,家事,代替品を用意した,パスワードを再設定
扇風機,C社,PN00007,115,異音がする,不注意,2025/03/09 09:12,デジタルライフ,初期化した,不要なアプリを削除
名刺入れ,D社,PN00028,116,動作が不安定,ネットワークの問題,2025/03/09 09:12,家事,パスワードを再設定,二重確認の徹底
自動車,D社,PN00025,117,誤って送った,確認不足,2025/03/09 09:12,通勤,清掃した,保管場所を決める
掃除機,G社,PN00008,118,問題点をリスト化したものはある,電力供給の問題,2025/03/09 09:12,デジタルライフ,再起動した,支払い方法を自動引き落としに変更
加湿器,D社,PN00002,119,接続できない,うっかりミス,2025/03/09 09:12,健康管理,設定を元に戻した,バックアップ体制を強化
電気ケトル,A社,PN00008,120,ネットワークに繋がらない,多忙による見落とし,2025/03/09 09:12,趣味,メーカーに問い合わせた,定期的なソフトウェア更新
腕時計,D社,PN00027,121,誤って送った,うっかりミス,2025/03/09 09:12,通勤,設定を元に戻した,二重確認の徹底
スマートフォン,H社,PN00027,122,再起動した,不注意,2025/03/09 09:12,仕事,謝罪と訂正を行った,モデル構築の複雑さ
洗濯機,B社,PN00006,123,入力ミス,うっかりミス,2025/03/09 09:12,家事,パスワードを再設定,リマインダー設定の徹底
冷蔵庫,H社,PN00014,124,設定ミス,接続不良,2025/03/09 09:12,健康管理,メーカーに問い合わせた,不要なアプリを削除
手帳,G社,PN00008,125,誤って操作した,確認不足,2025/03/09 09:12,仕事,謝罪と訂正を行った,パスワードを再設定
電子レンジ,B社,PN00010,126,約束を忘れた,設定の誤り,2025/03/09 09:12,デジタルライフ,初期化した,リマインダー設定の徹底
USBメモリ,G社,PN00018,127,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,プライベート,清掃した,自動化ツールの導入
プリンター,H社,PN00012,128,動作が不安定,経年劣化,2025/03/09 09:12,プライベート,清掃した,ルーティングシステムの導入
洗濯機,H社,PN00026,129,約束を忘れた,多忙による見落とし,2025/03/09 09:12,仕事,専門業者に依頼した,自動化ツールの導入
水筒,G社,PN00008,130,フリーズする,電力供給の問題,2025/03/09 09:12,学習,専門業者に依頼した,ルーティングシステムの導入
筆記用具,D社,PN00017,131,誤って送った,バッテリー切れ,2025/03/09 09:12,通勤,設定を元に戻した,チェックリストの導入
扇風機,H社,PN00011,132,表示がおかしい,電力供給の問題,2025/03/09 09:12,プライベート,メーカーに問い合わせた,二重確認の徹底
プリンター,D社,PN00012,133,接続できない,確認不足,2025/03/09 09:12,デジタルライフ,再起動した,保管場所を決める
ワイヤレスイヤホン,C社,PN00017,134,誤って削除した,確認不足,2025/03/09 09:12,デジタルライフ,代替品を用意した,ルーティングシステムの導入
名刺入れ,D社,PN00028,135,パスワードを再設定,多忙による見落とし,2025/03/09 09:12,学習,清掃した,支払い方法を自動引き落としに変更
食器洗い乾燥機,C社,PN00002,136,冷えない,多忙による見落とし,2025/03/09 09:12,仕事,パスワードを再設定,保管場所を決める
ノートパソコン,F社,PN00017,137,紛失した,ヒューマンエラー,2025/03/09 09:12,プライベート,再予約した,自動化ツールの導入
エアコン,C社,PN00016,138,問題点をリスト化したものはある,確認不足,2025/03/09 09:12,仕事,デバッグして修正した,単体テストと結合テストを徹底する
掃除機,E社,PN00009,139,間違えて登録した,うっかりミス,2025/03/09 09:12,仕事,謝罪と訂正を行った,リマインダー設定の徹底
加湿器,H社,PN00002,140,冷えない,多忙による見落とし,2025/03/09 09:12,健康管理,専門業者に依頼した,単体テストと結合テストを徹底する
電子レンジ,D社,PN00010,141,音が出ない,バッテリー切れ,2025/03/09 09:12,プライベート,再予約した,二重確認の徹底
コーヒーメーカー,B社,PN00001,142,予約を忘れた,電力供給の問題,2025/03/09 09:12,プライベート,初期化した,不要なアプリを削除
鍵,G社,PN00010,143,接続できない,確認不足,2025/03/09 09:12,健康管理,設定を元に戻した,モデル構築の複雑さ
腕時計,A社,PN00027,144,道を間違えた,ウイルスの感染,2025/03/09 09:12,健康管理,代替品を用意した,パスワードを再設定
掃除機,F社,PN00025,145,間違えて登録した,物理的な衝撃,2025/03/09 09:12,プライベート,パスワードを再設定,保管場所を決める
水筒,C社,PN00008,146,誤って削除した,経年劣化,2025/03/09 09:12,趣味,専門業者に依頼した,自動化ツールの導入
USBメモリ,A社,PN00012,147,問題点をリスト化したものはある,ヒューマンエラー,2025/03/09 09:12,仕事,再起動した,二重確認の徹底
プリンター,E社,PN00012,148,冷えない,多忙による見落とし,2025/03/09 09:12,学習,メーカーに問い合わせた,定期的なメンテナンスを導入
掃除機,H社,PN00026,149,紛失した,確認不足,2025/03/09 09:12,プライベート,謝罪と訂正を行った,ルーティングシステムの導入
筆記用具,D社,PN00017,150,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,仕事,清掃した,二重確認の徹底
モバイルバッテリー,A社,PN00029,151,入力ミス,不注意,2025/03/09 09:12,プライベート,パスワードを再設定,リマインダー設定の徹底
眼鏡,E社,PN00016,152,パスワードを再設定,ネットワークの問題,2025/03/09 09:12,デジタルライフ,再予約した,チェックリストの導入
冷蔵庫,E社,PN00014,153,設定ミス,システムのバグ,2025/03/09 09:12,家事,代替品を用意した,パスワードを再設定
扇風機,C社,PN00007,154,異音がする,不注意,2025/03/09 09:12,デジタルライフ,初期化した,不要なアプリを削除
名刺入れ,D社,PN00028,155,動作が不安定,ネットワークの問題,2025/03/09 09:12,家事,パスワードを再設定,二重確認の徹底
自動車,D社,PN00025,156,誤って送った,確認不足,2025/03/09 09:12,通勤,清掃した,保管場所を決める
掃除機,G社,PN00008,157,問題点をリスト化したものはある,電力供給の問題,2025/03/09 09:12,デジタルライフ,再起動した,支払い方法を自動引き落としに変更
加湿器,D社,PN00002,158,接続できない,うっかりミス,2025/03/09 09:12,健康管理,設定を元に戻した,バックアップ体制を強化
電気ケトル,A社,PN00008,159,ネットワークに繋がらない,多忙による見落とし,2025/03/09 09:12,趣味,メーカーに問い合わせた,定期的なソフトウェア更新
腕時計,D社,PN00027,160,誤って送った,うっかりミス,2025/03/09 09:12,通勤,設定を元に戻した,二重確認の徹底
スマートフォン,H社,PN00027,161,再起動した,不注意,2025/03/09 09:12,仕事,謝罪と訂正を行った,モデル構築の複雑さ
洗濯機,B社,PN00006,162,入力ミス,うっかりミス,2025/03/09 09:12,家事,パスワードを再設定,リマインダー設定の徹底
冷蔵庫,H社,PN00014,163,設定ミス,接続不良,2025/03/09 09:12,健康管理,メーカーに問い合わせた,不要なアプリを削除
手帳,G社,PN00008,164,誤って操作した,確認不足,2025/03/09 09:12,仕事,謝罪と訂正を行った,パスワードを再設定
電子レンジ,B社,PN00010,165,約束を忘れた,設定の誤り,2025/03/09 09:12,デジタルライフ,初期化した,リマインダー設定の徹底
USBメモリ,G社,PN00018,166,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,プライベート,清掃した,自動化ツールの導入
プリンター,H社,PN00012,167,動作が不安定,経年劣化,2025/03/09 09:12,プライベート,清掃した,ルーティングシステムの導入
洗濯機,H社,PN00026,168,約束を忘れた,多忙による見落とし,2025/03/09 09:12,仕事,専門業者に依頼した,自動化ツールの導入
水筒,G社,PN00008,169,フリーズする,電力供給の問題,2025/03/09 09:12,学習,専門業者に依頼した,ルーティングシステムの導入
筆記用具,D社,PN00017,170,誤って送った,バッテリー切れ,2025/03/09 09:12,通勤,設定を元に戻した,チェックリストの導入
扇風機,H社,PN00011,171,表示がおかしい,電力供給の問題,2025/03/09 09:12,プライベート,メーカーに問い合わせた,二重確認の徹底
プリンター,D社,PN00012,172,接続できない,確認不足,2025/03/09 09:12,デジタルライフ,再起動した,保管場所を決める
ワイヤレスイヤホン,C社,PN00017,173,誤って削除した,確認不足,2025/03/09 09:12,デジタルライフ,代替品を用意した,ルーティングシステムの導入
名刺入れ,D社,PN00028,174,パスワードを再設定,多忙による見落とし,2025/03/09 09:12,学習,清掃した,支払い方法を自動引き落としに変更
食器洗い乾燥機,C社,PN00002,175,冷えない,多忙による見落とし,2025/03/09 09:12,仕事,パスワードを再設定,保管場所を決める
ノートパソコン,F社,PN00017,176,紛失した,ヒューマンエラー,2025/03/09 09:12,プライベート,再予約した,自動化ツールの導入
エアコン,C社,PN00016,177,問題点をリスト化したものはある,確認不足,2025/03/09 09:12,仕事,デバッグして修正した,単体テストと結合テストを徹底する
掃除機,E社,PN00009,178,間違えて登録した,うっかりミス,2025/03/09 09:12,仕事,謝罪と訂正を行った,リマインダー設定の徹底
加湿器,H社,PN00002,179,冷えない,多忙による見落とし,2025/03/09 09:12,健康管理,専門業者に依頼した,単体テストと結合テストを徹底する
電子レンジ,D社,PN00010,180,音が出ない,バッテリー切れ,2025/03/09 09:12,プライベート,再予約した,二重確認の徹底
コーヒーメーカー,B社,PN00001,181,予約を忘れた,電力供給の問題,2025/03/09 09:12,プライベート,初期化した,不要なアプリを削除
鍵,G社,PN00010,182,接続できない,確認不足,2025/03/09 09:12,健康管理,設定を元に戻した,モデル構築の複雑さ
腕時計,A社,PN00027,183,道を間違えた,ウイルスの感染,2025/03/09 09:12,健康管理,代替品を用意した,パスワードを再設定
掃除機,F社,PN00025,184,間違えて登録した,物理的な衝撃,2025/03/09 09:12,プライベート,パスワードを再設定,保管場所を決める
水筒,C社,PN00008,185,誤って削除した,経年劣化,2025/03/09 09:12,趣味,専門業者に依頼した,自動化ツールの導入
USBメモリ,A社,PN00012,186,問題点をリスト化したものはある,ヒューマンエラー,2025/03/09 09:12,仕事,再起動した,二重確認の徹底
プリンター,E社,PN00012,187,冷えない,多忙による見落とし,2025/03/09 09:12,学習,メーカーに問い合わせた,定期的なメンテナンスを導入
掃除機,H社,PN00026,188,紛失した,確認不足,2025/03/09 09:12,プライベート,謝罪と訂正を行った,ルーティングシステムの導入
筆記用具,D社,PN00017,189,解決策、改善案は品質保証部でレビューする,バッテリー切れ,2025/03/09 09:12,仕事,清掃した,二重確認の徹底
モバイルバッテリー,A社,PN00029,190,入力ミス,不注意,2025/03/09 09:12,プライベート,パスワードを再設定,リマインダー設定の徹底
眼鏡,E社,PN00016,191,パスワードを再設定,ネットワークの問題,2025/03/09 09:12,デジタルライフ,再予約した,チェックリストの導入
冷蔵庫,E社,PN00014,192,設定ミス,システムのバグ,2025/03/09 09:12,家事,代替品を用意した,パスワードを再設定
扇風機,C社,PN00007,193,異音がする,不注意,2025/03/09 09:12,デジタルライフ,初期化した,不要なアプリを削除
名刺入れ,D社,PN00028,194,動作が不安定,ネットワークの問題,2025/03/09 09:12,家事,パスワードを再設定,二重確認の徹底
自動車,D社,PN00025,195,誤って送った,確認不足,2025/03/09 09:12,通勤,清掃した,保管場所を決める
掃除機,G社,PN00008,196,問題点をリスト化したものはある,電力供給の問題,2025/03/09 09:12,デジタルライフ,再起動した,支払い方法を自動引き落としに変更
加湿器,D社,PN00002,197,接続できない,うっかりミス,2025/03/09 09:12,健康管理,設定を元に戻した,バックアップ体制を強化
電気ケトル,A社,PN00008,198,ネットワークに繋がらない,多忙による見落とし,2025/03/09 09:12,趣味,メーカーに問い合わせた,定期的なソフトウェア更新
腕時計,D社,PN00027,199,誤って送った,うっかりミス,2025/03/09 09:12,通勤,設定を元に戻した,二重確認の徹底
スマートフォン,H社,PN00027,200,再起動した,不注意,2025/03/09 09:12,仕事,謝罪と訂正を行った,モデル構築の複雑さ
